payment_id,order_id,customer_id,amount,currency,txn_date,merchant_name,merchant_category,billing_descriptor,descriptor_matches_brand,card_network,card_country,customer_city,is_digital_goods,has_tracking,tracking_number,delivery_days,delivery_date,delivery_confirmed,days_since_delivery,contacted_support,support_contacts_count,past_disputes,past_disputes_won,refund_requested,refund_status,dispute_filed,dispute_type,dispute_date,dispute_reason_code,dispute_outcome
pay_14531675161336,order_829326155336,cust_40102,3095.66,INR,2026-08-18,PixelCraft Digital,digital,PXLCRFT*DIGITAL,True,Mastercard,IN,Hyderabad,True,False,,0,2026-08-18,False,12,False,0,0,0,False,none,False,none,,,
pay_65859463910024,order_508361278207,cust_33496,3500.96,INR,2026-08-22,FitGear Sports,sports,FITGEAR*SPORTS,True,RuPay,IN,Delhi,False,True,India Post-259877461,2,2026-08-24,True,17,False,0,0,0,False,none,False,none,,,
pay_95099628417816,order_156908330480,cust_84766,3005.31,INR,2026-08-07,BookNest Online,books,BKNEST*ONLINE,True,UPI,IN,Ahmedabad,False,True,DTDC-935504321,4,2026-08-11,True,12,False,0,0,0,False,none,False,none,,,
pay_50930816982763,order_900822105632,cust_60272,1117.68,INR,2026-08-10,PixelCraft Digital,digital,PXLCRFT*DIGITAL,False,UPI,IN,Jaipur,True,False,,0,2026-08-10,False,2,True,3,0,0,True,pending,True,legitimate,2026-08-22,U05,won
pay_62826147928578,order_965347817151,cust_24160,3813.54,INR,2026-08-07,BookNest Online,books,BKNEST*ONLINE,True,Visa,IN,Kochi,False,True,Ecom Express-570535289,6,2026-08-13,True,20,False,0,0,0,False,none,True,friendly_fraud,2026-08-27,13.1,lost
pay_38437897533178,order_691966545051,cust_29198,6565.0,INR,2026-08-13,FitGear Sports,sports,FITGEAR*SPORTS,True,Mastercard,IN,Chennai,False,False,,6,2026-08-19,False,30,True,4,0,0,False,none,False,none,,,
pay_93552203149319,order_594389622444,cust_12068,4751.53,INR,2026-08-08,StyleHub Fashion,fashion,STYLHUB*FASHION,True,RuPay,IN,Bangalore,False,True,Delhivery-896413702,4,2026-08-12,True,23,False,0,0,0,False,none,False,none,,,
pay_91252460014978,order_976610350084,cust_66302,3651.09,INR,2026-08-07,PixelCraft Digital,digital,PXLCRFT*DIGITAL,True,RuPay,IN,Pune,True,False,,0,2026-08-07,False,45,True,2,0,0,False,none,False,none,,,
pay_13862399962776,order_153199894466,cust_58819,2807.68,INR,2026-08-21,BookNest Online,books,BKNEST*ONLINE,True,Mastercard,IN,Ahmedabad,False,True,Delhivery-609578849,5,2026-08-26,True,21,True,3,0,0,False,none,True,friendly_fraud,2026-08-31,4855,lost
pay_63705923632197,order_681830843906,cust_28131,2959.13,INR,2026-08-13,BookNest Online,books,BKNEST*ONLINE,True,UPI,IN,Jaipur,False,True,BlueDart-217734861,2,2026-08-15,True,4,False,0,0,0,False,none,False,none,,,
pay_50621462210070,order_235030135894,cust_19359,6630.21,INR,2026-08-09,PixelCraft Digital,digital,PXLCRFT*DIGITAL,True,Visa,IN,Mumbai,True,False,,0,2026-08-09,False,36,False,0,0,0,False,none,False,none,,,
pay_53857500425381,order_459581516648,cust_62531,4573.5,INR,2026-08-05,StyleHub Fashion,fashion,STYLHUB*FASHION,True,Visa,IN,Delhi,False,True,BlueDart-198524063,6,2026-08-11,True,10,False,0,0,0,False,none,False,none,,,
pay_58487705570965,order_171727606899,cust_70604,555.18,INR,2026-08-19,FitGear Sports,sports,FITGEAR*SPORTS,True,Mastercard,IN,Surat,False,True,BlueDart-525146690,3,2026-08-22,True,2,False,0,0,0,False,none,False,none,,,
pay_29332295387819,order_323305433678,cust_93151,3816.71,INR,2026-08-04,FitGear Sports,sports,FITGEAR*SPORTS,True,Visa,IN,Lucknow,False,True,India Post-176467315,4,2026-08-08,True,26,True,4,0,0,True,denied,True,legitimate,2026-08-12,13.3,won
pay_23272266749023,order_821970820395,cust_84847,1144.4,INR,2026-08-18,PixelCraft Digital,digital,PXLCRFT*DIGITAL,True,Mastercard,IN,Lucknow,True,False,,0,2026-08-18,False,26,False,0,0,0,False,none,False,none,,,
pay_51345697985996,order_213048742291,cust_20828,4201.8,INR,2026-08-26,PixelCraft Digital,digital,PXLCRFT*DIGITAL,True,Mastercard,IN,Kochi,True,False,,0,2026-08-26,False,11,False,0,0,0,False,none,False,none,,,
pay_29190858194636,order_532704013236,cust_53478,937.58,INR,2026-08-17,QuickMart Electronics,electronics,QKMART*ELECTRONICS,False,Mastercard,IN,Chennai,False,True,DTDC-921706952,4,2026-08-21,True,18,False,0,3,2,False,none,True,serial_disputer,2026-09-10,4855,won
pay_62520551899071,order_711341716290,cust_19637,4470.01,INR,2026-08-12,FitGear Sports,sports,FITGEAR*SPORTS,False,Mastercard,IN,Pune,False,True,India Post-400347789,7,2026-08-19,True,6,False,0,0,0,False,none,False,none,,,
pay_16234628978059,order_845799730128,cust_14818,3403.99,INR,2026-08-23,FitGear Sports,sports,FITGEAR*SPORTS,True,Mastercard,IN,Indore,False,True,India Post-737609304,6,2026-08-29,True,22,True,2,0,0,False,none,False,none,,,
